resort_slug,resort_name,state_code,state_name,country_code,country_name,is_active,is_region
49-degrees-north-us,49 Degrees North,WA,WA,US,United States,True,False
abenaki-us,Abenaki,NH,NH,US,United States,True,False
abisko-se,Abisko,Lapland,Lapland,SE,Sweden,True,False
afton-alps-us,Afton Alps,MN,MN,US,United States,True,False
al-quaal-us,Al Quaal,MI,MI,US,United States,True,False
alpental-us,Alpental,WA,WA,US,United States,True,False
alpine-meadows-us,Alpine Meadows,CA,CA,US,United States,True,False
alpine-valley-us-561,Alpine Valley,MI,MI,US,United States,True,False
alpine-valley-us-307,Alpine Valley,WI,WI,US,United States,True,False
alpine-valley-us-603,Alpine Valley,OH,OH,US,United States,True,False
alta-us,Alta,UT,UT,US,United States,True,False
alta-badia-it,Alta Badia,Trentino-Alto Adige,Trentino-Alto Adige,IT,Italy,True,False
alta-sierra-us,Alta Sierra,CA,CA,US,United States,True,False
alyeska-us,Alyeska,AK,AK,US,United States,True,False
andermattsedrundisentis-ch,Andermatt–Sedrun–Disentis,Uri / Graubünden,Uri / Graubünden,CH,Switzerland,True,False
andes-tower-hills-us,Andes Tower Hills,MN,MN,US,United States,True,False
angel-fire-us,Angel Fire,NM,NM,US,United States,True,False
anthony-lakes-us,Anthony Lakes,OR,OR,US,United States,True,False
apex-mountain-ca,Apex Mountain,BC,BC,CA,Canada,True,False
appalachian-ski-mountain-us,Appalachian Ski Mountain,NC,NC,US,United States,True,False
appi-kogen-jp,Appi Kogen,Iwate,Iwate,JP,Japan,True,False
apple-mountain-us,Apple Mountain,MI,MI,US,United States,True,False
arabba-it,Arabba,Veneto,Veneto,IT,Italy,True,False
arapahoe-basin-us,Arapahoe Basin,CO,CO,US,United States,True,False
arctic-valley-us,Arctic Valley,AK,AK,US,United States,True,False
are-se,Are,Jamtland,Jamtland,SE,Sweden,True,False
re-se,Åre,Jämtland,Jämtland,SE,Sweden,True,False
arizona-snowbowl-us,Arizona Snowbowl,AZ,AZ,US,United States,True,False
arrowhead-us,Arrowhead,NH,NH,US,United States,True,False
asessippi-ca,Asessippi,MB,MB,CA,Canada,True,False
ashwabay-us,Ashwabay,WI,WI,US,United States,True,False
aspen-mountain-us,Aspen Mountain,CO,CO,US,United States,True,False
astun-es,Astun,Pyrenees,Pyrenees,ES,Spain,True,False
astn-es,Astún,Aragon,Aragon,ES,Spain,True,False
attitash-us,Attitash,NH,NH,US,United States,True,False
auron-fr,Auron,Provence,Provence,FR,France,True,False
ausblick-us,Ausblick,WI,WI,US,United States,True,False
aussois-fr,Aussois,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,FR,France,True,False
bachmaro-ge,Bachmaro,Guria,Guria,GE,Georgia,True,False
badger-mountain-us,Badger Mountain,WA,WA,US,United States,True,False
badger-pass-us,Badger Pass,CA,CA,US,United States,True,False
badlands-us,Badlands,WI,WI,US,United States,True,False
baker-mountain-us,Baker Mountain,ME,ME,US,United States,True,False
bakuriani-ge,Bakuriani,Samtskhe-Javakheti,Samtskhe-Javakheti,GE,Georgia,True,False
